pert_desc,pert_id,cell_id,pert_dose,pert_dose_unit,score
-666,BRD-A62184259,ASC,10.0,um,0.0982
-666,BRD-K36055864,ASC,10.0,um,0.0804
vincristine,BRD-K82109576,VCAP,10.0,um,0.0759
YK 4-279,BRD-A62182663,VCAP,10.0,um,0.0714
-666,BRD-A43640821,VCAP,10.0,um,0.0714
MEBENDAZOLE,BRD-K77987382,VCAP,10.0,um,0.067
-666,BRD-K17739445,VCAP,10.0,um,0.067
docetaxel,BRD-K63265447,VCAP,10.0,um,0.067
-666,BRD-A93236127,ASC,10.0,um,0.067
Cycloheximide,BRD-A62184259,HT29,10.0,um,0.0625
EMETINE HYDROCHLORIDE,BRD-K03067624,A549,10.0,um,0.0625
-666,BRD-A25687296,ASC,10.0,um,0.0625
SB 225002,BRD-K61323504,VCAP,10.0,um,0.058
PODOFILOX,BRD-K47869605,VCAP,10.0,um,0.058
OXIBENDAZOLE,BRD-K52075715,VCAP,10.0,um,0.058
Narciclasine,BRD-K06792661,MCF7,10.0,um,0.058
ABT-751,BRD-K91623615,VCAP,10.0,um,0.058
Carbazol-9-yl-p-tolyl-methanone,BRD-K71265179,VCAP,10.0,um,0.058
VU0365118-1,BRD-K53732802,VCAP,10.0,um,0.058
-666,BRD-K65242613,VCAP,10.0,um,0.058
vinorelbine,BRD-K97514127,VCAP,10.0,um,0.058
-666,BRD-K05323277,VCAP,10.0,um,0.058
D-64131,BRD-K26997899,VCAP,10.0,um,0.0536
OXFENDAZOLE,BRD-A33447119,VCAP,10.0,um,0.0536
Narciclasine,BRD-K06792661,SW948,10.0,um,0.0536
-666,BRD-U86922168,PC3,10.0,um,0.0536
-666,BRD-K36055864,HT29,10.0,um,0.0536
-666,BRD-K11072542,VCAP,10.0,um,0.0536
podofilox,BRD-K47869605,VCAP,10.0,um,0.0536
-666,BRD-K75308990,VCAP,10.0,um,0.0536
FENBENDAZOLE,BRD-K51318897,VCAP,10.0,um,0.0491
LY 2183240,BRD-K37865504,VCAP,10.0,um,0.0491
EMETINE,BRD-A25687296,PC3,10.0,um,0.0491
Narciclasine,BRD-K06792661,HA1E,10.0,um,0.0491
Narciclasine,BRD-K06792661,HT29,10.0,um,0.0491
Narciclasine,BRD-K06792661,HT29,10.0,um,0.0491
Narciclasine,BRD-K06792661,MCF7,10.0,um,0.0491
Narciclasine,BRD-K06792661,RMUGS,10.0,um,0.0491
-666,BRD-K08316444,VCAP,0.63,um,0.0491
-666,BRD-A16820783,VCAP,10.0,um,0.0491
vindesine,BRD-K59753975,VCAP,10.0,um,0.0491
clobenpropit,BRD-K71430621,VCAP,10.0,um,0.0491
-666,BRD-A68930007,ASC,10.0,um,0.0491
-666,BRD-K80348542,ASC,10.0,um,0.0491
-666,BRD-A80502530,ASC,10.0,um,0.0491
-666,BRD-K38340366,VCAP,10.0,um,0.0491
-666,BRD-K53610452,VCAP,10.0,um,0.0491
FENBENDAZOLE,BRD-K51318897,HA1E,10.0,um,0.0446
Anisomycin,BRD-K91370081,HA1E,10.0,um,0.0446
CYCLOHEXIMIDE,BRD-K36055864,A375,10.0,um,0.0446
