pert_desc,pert_id,cell_id,pert_dose,pert_dose_unit,score
Ro 28-1675 ?,BRD-K21672174,A375,160.0,um,0.3684
Tyrphostin AG 1478,BRD-K68336408,A375,56.78,um,0.3684
temsirolimus [CI779],BRD-A62025033,A549,10.0,um,0.3684
A443654,BRD-K88573743,PC3,1.11,um,0.3684
Brefeldin A,BRD-A17065207,PC3,10.0,um,0.3158
TRICIRIBINE,BRD-K80431395,HA1E,10.0,um,0.3158
-666,BRD-A62809825,A549,10.0,um,0.3158
CHR 2797,BRD-K92241597,HCT116,80.0,um,0.3158
-666,BRD-K41859756,HT115,10.0,um,0.3158
-666,BRD-A18763547,HT29,10.0,um,0.3158
niguldipine hydrochloride,BRD-A43331270,HT29,10.0,um,0.3158
DL-PDMP,BRD-K05653692,HT29,64.0,um,0.3158
Ro 28-1675 ?,BRD-K21672174,HT29,160.0,um,0.3158
Akt inhibitor IV,BRD-K28296557,HT29,10.0,um,0.3158
"3,5-dichloro-2-hydroxy-N-(2-methoxy-5-phenylphenyl)benzenesulfonamide",BRD-K43620258,HT29,80.0,um,0.3158
-666,BRD-K64642496,HT29,40.0,um,0.3158
ARP 101,BRD-K73395020,HT29,10.0,um,0.3158
Akt inhibitor IV,BRD-K28296557,HT29,10.0,um,0.3158
-666,BRD-K25737009,LOVO,40.0,um,0.3158
Tyrphostin AG 1478,BRD-K68336408,NCIH596,56.78,um,0.3158
-666,BRD-K20755323,PC3,40.0,um,0.3158
Ro 28-1675 ?,BRD-K21672174,VCAP,160.0,um,0.3158
NCGC00185684-02,BRD-K37940862,HT29,10.0,um,0.3158
EI-346,BRD-U08759356,HA1E,10.0,um,0.3158
cyclosporin A,BRD-A38030642,HCC515,10.0,um,0.2632
cyclosporin A,BRD-A38030642,PC3,10.0,um,0.2632
AG 592,BRD-K89930444,PC3,10.0,um,0.2632
Mevastatin,BRD-K94441233,PC3,10.0,um,0.2632
CCCP,BRD-K15616905,HCC515,10.0,um,0.2632
CCCP,BRD-K15616905,PC3,10.0,um,0.2632
PENFLURIDOL,BRD-K15409150,VCAP,10.0,um,0.2632
TRICIRIBINE,BRD-K80431395,PC3,10.0,um,0.2632
PAC 1,BRD-K50841342,A375,10.0,um,0.2632
THAPSIGARGIN,BRD-K69023402,HT29,10.0,um,0.2632
89671,BRD-A31107743,A375,0.09,um,0.2632
PK-11195,BRD-A41451487,A375,160.0,um,0.2632
artesunate,BRD-A47829399,A375,10.0,um,0.2632
MK-0591,BRD-K39503511,A375,80.0,um,0.2632
"L-690,488",BRD-K69328504,A549,10.0,um,0.2632
-666,BRD-K06593056,A549,20.0,um,0.2632
-666,BRD-K25737009,HCC15,40.0,um,0.2632
-666,BRD-K73261812,HCT116,10.0,um,0.2632
-666,BRD-A18763547,HEPG2,10.0,um,0.2632
89671,BRD-A31107743,HEPG2,0.09,um,0.2632
-666,BRD-A62809825,HEPG2,10.0,um,0.2632
BJM-ctd2-9,BRD-M86331534,HT115,10.0,um,0.2632
PERHEXILINE MALEATE,BRD-A19633847,HT29,10.0,um,0.2632
89671,BRD-A31107743,HT29,0.09,um,0.2632
-666,BRD-A62809825,HT29,10.0,um,0.2632
Pimozide,BRD-K01292756,HT29,10.0,um,0.2632
