"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rps18",-4.93581989826564,2.54437937139928,-23.7093397974573,7.50344218805028e-08,0.0008058696909966,7.33431141892454
"Hmgn2",2.89662552909508,2.04628735252126,17.661313075681,5.52139219676747e-07,0.00296498760966413,6.23036262255064
"Zdhhc14",1.8518250267203,3.05115532866535,14.9093553665228,1.7237941343783e-06,0.00617118300107432,5.45551170620646
"Ptprj",1.69608439871167,3.69821327192106,12.8669259822956,4.60207178601676e-06,0.011132345670447,4.70806069990777
"Gm15772",3.32308058181992,3.98840682668916,12.6383819461234,5.18265627115781e-06,0.011132345670447,4.61299739961927
"Fam129b",1.98973423549674,2.82390693782902,11.7974025392763,8.16879362801652e-06,0.013684066482203,4.24027250206939
"Slc44a1",2.13353998598515,5.3984956059254,11.6410888142332,8.91885152471334e-06,0.013684066482203,4.16677674879227
"Hist1h2ak",-3.04945926958713,4.3718318085961,-11.2494616796244,1.11682994173017e-05,0.0144038038751264,3.97642563365095
"Pde8b",2.28372256590928,2.17771417073054,10.963180097081,1.3224110561036e-05,0.0144038038751264,3.83141611407531
"Ccdc134",1.62413794567034,3.48878984152319,10.8693239545748,1.39894766249598e-05,0.0144038038751264,3.78275505695529
"Chadl",1.76509121795667,3.79477703463971,10.6026778165763,1.64541105025332e-05,0.0144038038751264,3.64138894701597
"Atp10b",2.11891368093714,1.53642010359303,10.4891608733506,1.76506565290379e-05,0.0144038038751264,3.57977138827451
"Hist1h3e",-2.20613896865075,5.68513026559935,-10.3901609491152,1.87754742613241e-05,0.0144038038751264,3.52531669061336
"Dusp15",2.26493653667088,2.6880984464665,10.3327429029009,1.94651062241048e-05,0.0144038038751264,3.49342361837655
"Wdr1",1.2349157282418,5.80630732732482,9.99571888713041,2.41437888200914e-05,0.0144038038751264,3.3015081236383
"Map4k5",1.270872873921,4.33944005962,9.9280559105262,2.52303815227667e-05,0.0144038038751264,3.26198323593003
"Ppfibp1",2.04208138661072,5.05684198056729,9.80937565746948,2.72732814398465e-05,0.0144038038751264,3.19183119625452
"Scrg1",1.1871198995836,6.07527315006479,9.76043788802914,2.81699230822413e-05,0.0144038038751264,3.16259392064512
"Kazn",1.70794021297265,4.31601589679408,9.74120938063038,2.85313593905063e-05,0.0144038038751264,3.15105604044192
"Arhgap20",1.66040547838211,2.16165039459705,9.73297790270049,2.86876941318421e-05,0.0144038038751264,3.14610815688856
"Insig1",1.13206724124968,5.18435354675571,9.72591735734487,2.88225659650827e-05,0.0144038038751264,3.14185996626847
"Hdac1",1.60524179675949,1.19409819753663,9.6282458448981,3.07641988040916e-05,0.0144038038751264,3.08269774452461
"Neu4",2.37424939042823,3.51409998600716,9.56594413399066,3.20802439699602e-05,0.0144038038751264,3.04457146496823
"1600021P15Rik",1.32176249016735,4.15461291233209,9.52081036559387,3.30736164790452e-05,0.0144038038751264,3.01676023789078
"Gjd2",-1.500142939068,0.86722838811226,-9.50065806516964,3.35284075305549e-05,0.0144038038751264,3.00429028253186
"Lss",1.57213727791605,4.7691983551927,9.33211824472497,3.76229446677631e-05,0.0155194735704037,2.898722668825
"Map6d1",1.68157750750076,2.30766351865275,9.26422982748079,3.94304586579958e-05,0.0155194735704037,2.85554595475836
"Dock9",2.43883141023586,3.62985451610888,9.17746905403784,4.188570118636e-05,0.0155194735704037,2.79981050252921
"Hist1h3f",-2.21832953383076,3.68222088681062,-9.17679415462688,4.19054686724122e-05,0.0155194735704037,2.79937447876672
"Fam19a2",2.50393316395109,2.23764990580495,9.01793238789054,4.68673990848692e-05,0.0159236645780371,2.6956674737812
"Tenc1",1.45926907020267,1.65193795395002,9.00586469325832,4.72707874777012e-05,0.0159236645780371,2.6877013709186
"Dock4",1.54328609393237,3.19875003111673,9.00069467655008,4.74448106608183e-05,0.0159236645780371,2.6842847045762
"Tns3",1.62818449731917,5.18046343508949,8.89311081340965,5.12363415050648e-05,0.0166751002352847,2.61265972077197
"Hmgcr",1.16027893475402,5.54850983443095,8.74949709448279,5.68452594509215e-05,0.0173972872883737,2.51545852787926
"Pcyt2",1.16084845949641,3.937126867266,8.70914353561772,5.8544391769903e-05,0.0173972872883737,2.48781408001343
"Enpp2",2.1051375554606,5.34234288024374,8.70595165229457,5.86812291042407e-05,0.0173972872883737,2.48562117813385
"Hist1h3i",-1.72286702913435,5.38300874981349,-8.61713125591864,6.26384399270086e-05,0.0173972872883737,2.42422728681914
"Sirt2",1.69121585486293,7.16100634982381,8.6117468039545,6.28878927401249e-05,0.0173972872883737,2.42048226069517
"Etv1",-1.97134549073473,3.59102848964411,-8.60474290769526,6.32140588388486e-05,0.0173972872883737,2.41560687548429
"Hist2h2ac",-2.47681620103448,3.59746122448812,-8.5713787685172,6.47943660647064e-05,0.0173972872883737,2.39232008176656
"Stard4",1.06086434177476,3.32349619604239,8.5335572764432,6.66402157623818e-05,0.0174564857875117,2.36579748056094
"Slc45a4",1.23652190505332,2.98312491099506,8.49461204000611,6.86034570102073e-05,0.0175428840068959,2.3383474726615
"Ninj2",2.34278522471741,2.51813747146541,8.40430052342606,7.34135388689229e-05,0.0177332951141005,2.27414348142705
"Fbn2",1.66952115898175,2.30901748644984,8.36763366141868,7.54746621839633e-05,0.0177332951141005,2.24785535399495
"Sema5a",1.18312584683101,3.32129504751257,8.36754534254501,7.54797053043374e-05,0.0177332951141005,2.24779187902949
"1190002F15Rik",-1.70456041756789,1.24907223953777,-8.35812177133974,7.60200036019045e-05,0.0177332951141005,2.24101484222009
"Sgcd",1.44532469327445,1.4210531236041,8.33092933856772,7.76038054341455e-05,0.0177332951141005,2.22141137220926
"Gltp",1.64901065752326,4.45385887998273,8.20195822873621,8.56433606754261e-05,0.0180079374168769,2.12745798601746
"Sipa1l2",1.49196861550241,4.5394855286555,8.19952279952571,8.58039990086293e-05,0.0180079374168769,2.12566817108568
"Stard13",1.39001439636202,3.69633422803818,8.17443213717046,8.74789717026751e-05,0.0180079374168769,2.10719480720569
"Gpr149",-2.53321619152112,1.72987909861616,-8.16334618432184,8.82308060111057e-05,0.0180079374168769,2.09901279896426
"Mical3",1.51834187061316,2.82848709087864,8.16024147536098,8.84426728793332e-05,0.0180079374168769,2.09671918125239
"Sh3tc2",1.41264482712576,1.17421339684118,8.15406337879812,8.88659853905469e-05,0.0180079374168769,2.09215224185481
"Zfyve27",1.240361968827,1.87145882559476,8.10365790040386,9.24067094698015e-05,0.0182235619791896,2.05474993476495
"Sema3d",2.33849355313564,3.48825259955869,8.09096052599401,9.33236414204308e-05,0.0182235619791896,2.04528812124477
"Mxd3",-1.78816264112039,1.24852321202193,-7.94616398129671,0.000104542334862678,0.0196873353637026,1.93623732080353
"Ctnnal1",1.42951088674386,4.33879550717946,7.94388974403791,0.00010473032470344,0.0196873353637026,1.93450748410544
"Nfasc",1.87996270968557,3.36642511293125,7.92485373968884,0.000106318943304911,0.0196873353637026,1.92000741261601
"Gm1943",1.61625749018776,2.65357496943994,7.89750807594842,0.00010864898447847,0.0197777981915045,1.89911235000581
"Abtb2",1.59594962911999,4.29517083152866,7.86152215512771,0.000111803801758636,0.0200128805147959,1.87149719298831
"Hist1h2be",-1.58168490959641,2.70401403464369,-7.75627342641505,0.000121642156925166,0.021147336936261,1.78995381636615
"Rpl3",-1.1164223082648,4.3513459522883,-7.75181950878403,0.000122079598700948,0.021147336936261,1.7864773244345
"Itpr2",2.11759819854694,4.51866119655904,7.70844021736254,0.000126434439576714,0.0215540616040304,1.75250752782384
"Hist1h2ab",-2.3603693383399,4.49451095275545,-7.67507963089496,0.000129903159051342,0.0217993738783033,1.72624665922528
"Gnb4",1.63238363840553,3.49622070822181,7.65001508132831,0.000132580135714265,0.0219063178087878,1.70643771242915
"Hist4h4",-1.26264341030452,2.79456661078436,-7.54354925314743,0.000144668086605435,0.0228735546073154,1.62153773968144
"Cnp",1.80054790349675,7.15776033738525,7.54046364856331,0.000145036546703471,0.0228735546073154,1.61905872174934
"Cdc25b",-1.44839358622192,2.0053730002576,-7.51435733938119,0.000148196775458887,0.0228735546073154,1.59804267093031
"Tgfa",1.94755836194751,4.32442448587349,7.50885254421178,0.000148873035737236,0.0228735546073154,1.59360163128082
"Pcp4",1.48792374181625,3.90400299948751,7.505311932941,0.000149309840234698,0.0228735546073154,1.59074344690377
"Slc22a23",1.06943398564971,4.75905013371915,7.46683520631811,0.000154151283770525,0.0228735546073154,1.55959341968277
"Fry",1.97063012508883,2.81618701630775,7.45737452531893,0.000155368710934806,0.0228735546073154,1.55190908026453
"Cd82",2.41950448627695,2.54691405310665,7.43430574635225,0.000158383074967877,0.0228735546073154,1.53312992640631
"Nav2",-0.945131204416591,1.85555498571134,-7.41486652000646,0.000160974535935629,0.0228735546073154,1.5172592763876
"Tnr",1.70300713944049,5.93315825314093,7.40683614826243,0.000162059028187653,0.0228735546073154,1.51069073836169
"Cobll1",1.22388546434846,2.97149515338068,7.37522238788996,0.000166409379909701,0.0228735546073154,1.48476149248044
"Fbxo7",1.55286322478736,4.43165001933845,7.37412020271216,0.000166563413520751,0.0228735546073154,1.48385546290973
"Pim3",1.62687790620864,4.73287958823359,7.35623927186424,0.000169084963362817,0.0228735546073154,1.46913763619215
"Ehd3",1.45140864340757,4.40974355599614,7.35127668123907,0.000169792406833937,0.0228735546073154,1.46504651135475
"Grtp1",1.24314953514165,3.06680980841635,7.34717048513765,0.000170380295026558,0.0228735546073154,1.46165928428798
"Rgnef",1.00355317931034,1.48282693883758,7.31826084671926,0.000174584995302821,0.0230554944412414,1.4377574015159
"Erbb3",2.17118558853045,1.66567930968126,7.3085140704829,0.000176028914728286,0.0230554944412414,1.42967755009881
"Pnpla3",1.17974578489737,1.12872815253166,7.26614152448529,0.000182464885124712,0.0236105164607158,1.39442557930623
"Tmcc2",1.46509334944283,3.43837463276323,7.21546389625087,0.00019051394664467,0.0240963928541091,1.3519933765413
"Prss23",-1.86290349463987,3.16900066655839,-7.19575540607868,0.000193751886813895,0.0240963928541091,1.33541137617664
"Plp1",1.88136852704592,5.87677244445114,7.18403174148482,0.000195707435128894,0.0240963928541091,1.32552612891001
"Nrm",1.67161574023123,2.86429937600703,7.1745808684068,0.000197300101405467,0.0240963928541091,1.3175456313003
"Ankrd28",1.03697999501905,4.47601970847448,7.17376748370205,0.000197437855787859,0.0240963928541091,1.31685830755146
"Hist1h3a",-2.04819939634216,4.38479393187227,-7.15269754481668,0.000201044359302909,0.0242608586394747,1.29902695907549
"Hip1r",1.57301914562301,4.10869525607431,7.10901962454998,0.000208759972784525,0.0248676851889998,1.26189707361928
"Ldlr",1.37402694564185,3.49530730549095,7.09830235635657,0.000210703850297857,0.0248676851889998,1.25275223303589
"Iqgap2",-1.69034440925081,2.315848540395,-7.08399473254339,0.000213330854216191,0.0249040584161075,1.2405226866909
"Sept5",2.43479521469351,5.0749694794634,7.06139249239666,0.000217556475344352,0.0250204154041387,1.22115391143016
"Hist1h2bm",-2.19356965223963,4.38867508141246,-7.04916316447337,0.000219882141989468,0.0250204154041387,1.21064884258162
"Col9a3",1.9708599631399,2.54888316908161,7.04169312072736,0.000221316523593406,0.0250204154041387,1.20422328142382
"3632451O06Rik",1.51994944175783,5.36184699050606,7.00754003699989,0.000228010416798147,0.0255086653792927,1.17476083407285
"Elovl7",2.00746605199978,3.03946994442177,6.97900467111188,0.000233778690593526,0.0256930365106028,1.15003751678651
"Opcml",1.94582855771957,3.28600969956445,6.97576955211834,0.00023444297747105,0.0256930365106028,1.14722840626597
"Hist1h2bk",-2.89619808819851,2.05599628038823,-6.92650939321382,0.000244825463166103,0.0260409841842643,1.10429898399479
"Csgalnact1",2.12019614874736,3.91174969292641,6.92509314671705,0.000245131538307189,0.0260409841842643,1.10306040721729
"Tbc1d23",1.20667431054121,4.00023868164083,6.9176155645819,0.000246754742210023,0.0260409841842643,1.09651686105176
"Mpzl1",1.93994836714683,4.70540911166793,6.91504013472946,0.000247316609571225,0.0260409841842643,1.09426156011099
"Pde4dip",0.952390901719046,4.44053684114847,6.87472189394092,0.000256303380800429,0.0267252263087049,1.05884964537179
"Lrrn3",1.18905155928367,3.79162767430203,6.84980259459723,0.000262041665738569,0.0270608412503099,1.03686345291463
"Slc12a9",1.14367804958994,3.1748024667067,6.82268443200848,0.000268451446106793,0.0273454205616852,1.01285057165551
"9530059O14Rik",1.92898106655204,1.75446853309962,6.81670007291179,0.000269889625655367,0.0273454205616852,1.00753927709176
